,evt_iran,evt_china,evt_sanction,evt_tariff,evt_fed,evt_oil
2017-01-01,0.7354,0.0168,0.8041,,0.0834,0.2374
2017-01-02,0.6277,0.0204,0.7062,,0.0994,0.2428
2017-01-03,0.6036,0.0108,0.4714,,0.1372,0.4518
2017-01-04,0.4148,0.0097,0.3502,,0.207,0.319
2017-01-05,0.45,0.0083,0.4913,,0.2917,0.3396
2017-01-06,0.5132,0.011,0.4788,,0.2228,0.2853
2017-01-07,0.4513,0.0163,0.3835,,0.1442,0.1963
2017-01-08,1.0013,0.0131,0.4094,,0.1093,0.1479
2017-01-09,0.8203,0.0183,0.393,,0.1614,0.2942
2017-01-10,0.579,0.0119,0.5314,,0.1171,0.3297
2017-01-11,0.6532,0.0111,0.5342,,0.089,0.2559
2017-01-12,0.5602,0.018,0.5227,,0.1323,0.3093
2017-01-13,0.4763,0.024,0.4762,,0.2246,0.3033
2017-01-14,0.4914,0.0208,0.9481,,0.0697,0.2006
2017-01-15,0.5568,0.0163,0.6343,,0.0892,0.2042
2017-01-16,0.606,0.0233,0.6674,,0.0727,0.3002
2017-01-17,0.5521,0.0191,0.502,,0.0752,0.3207
2017-01-18,0.638,0.0146,0.4054,,0.2052,0.3137
2017-01-19,0.4935,0.0285,0.4515,,0.2675,0.3177
2017-01-20,0.5162,0.0127,0.2897,,0.1858,0.2385
2017-01-21,0.651,0.007,0.2779,,0.0903,0.2244
2017-01-22,0.7181,0.0118,0.381,,0.0552,0.3925
2017-01-23,0.8749,0.012,0.4094,,0.0975,0.365
2017-01-24,0.8378,0.0096,0.2399,,0.0722,0.27
2017-01-25,0.6417,0.0096,0.2174,,0.0958,0.2193
2017-01-26,0.6993,0.0134,0.2301,,0.074,0.1777
2017-01-27,0.5197,0.0068,0.6309,,0.0815,0.1975
2017-01-28,1.7543,0.0115,0.9959,,0.0478,0.1011
2017-01-29,2.7637,0.0112,0.7693,,0.0601,0.1077
2017-01-30,1.8616,0.0111,0.4188,,0.1338,0.2034
2017-01-31,1.6154,0.009,0.5297,,0.1686,0.2124
2017-02-01,1.2398,0.0124,0.3307,,0.3225,0.2073
2017-02-02,1.3795,0.0528,0.7034,,0.2906,0.18
2017-02-03,1.8875,0.1509,1.2429,,0.2279,0.1609
2017-02-04,2.2339,0.052,1.0208,,0.1351,0.0909
2017-02-05,2.0299,0.0215,0.7677,,0.1522,0.1114
2017-02-06,1.2374,0.0083,0.6375,,0.1296,0.1951
2017-02-07,0.9352,0.0094,0.4469,,0.1163,0.2493
2017-02-08,0.6164,0.0085,0.3409,,0.081,0.2856
2017-02-09,0.666,0.0107,0.3198,,0.0882,0.177
2017-02-10,0.9706,0.0066,0.5088,,0.0938,0.2942
2017-02-11,0.9296,0.0095,0.4423,,0.0686,0.1919
2017-02-12,0.7868,0.0074,0.8312,,0.071,0.1382
2017-02-13,0.5871,0.0123,0.8219,,0.137,0.3905
2017-02-14,0.536,0.0186,1.8014,,0.3837,0.2429
2017-02-15,0.6664,0.0143,1.226,,0.3639,0.176
2017-02-16,0.6424,0.0124,0.9426,,0.2459,0.1951
2017-02-17,0.5554,0.0143,0.6763,,0.1364,0.2212
2017-02-18,0.6185,0.0106,0.7073,,0.0692,0.1098
2017-02-19,0.8372,0.015,0.7179,,0.0642,0.1951
2017-02-20,0.551,0.0182,0.4958,,0.1425,0.3085
2017-02-21,0.5494,0.0189,0.3248,,0.1411,0.3035
2017-02-22,0.4646,0.0113,0.238,,0.2547,0.2728
2017-02-23,0.4258,0.0094,0.1934,,0.2766,0.1503
2017-02-24,0.5098,0.0115,0.3772,,0.1226,0.1873
2017-02-25,0.7547,0.0201,0.3625,,0.0621,0.0972
2017-02-26,0.7447,0.0102,0.2851,,0.0432,0.1141
2017-02-27,0.9,0.0207,0.3005,,0.0958,0.2004
2017-02-28,0.3928,0.0141,0.4176,,0.1283,0.2519
2017-03-01,0.517,0.0285,0.3927,,0.2965,0.1754
2017-03-02,0.4096,0.0157,0.5209,,0.3395,0.1573
2017-03-03,0.2825,0.0121,0.4826,,0.5036,0.1398
2017-03-04,0.5575,0.0084,0.4967,,0.1846,0.1096
2017-03-05,0.5027,0.0108,0.3116,,0.118,0.1222
2017-03-06,0.4845,0.0151,0.3964,,0.2328,0.2214
2017-03-07,0.5058,0.0237,0.3871,,0.175,0.2621
2017-03-08,0.3685,0.0311,0.5648,,0.246,0.239
2017-03-09,0.6724,0.0174,0.3052,,0.228,0.3227
2017-03-10,0.4208,0.0138,0.2694,,0.4791,0.2248
2017-03-11,0.5386,0.0208,0.2706,,0.2073,0.1057
2017-03-12,0.5793,0.0316,0.3664,,0.1612,0.1416
2017-03-13,0.4573,0.0111,0.3284,,0.3444,0.3234
2017-03-14,0.4125,0.0141,0.3347,,0.4081,0.3773
2017-03-15,0.481,0.0133,0.3154,,0.6401,0.3149
2017-03-16,0.427,0.0128,0.3084,,0.683,0.1995
2017-03-17,0.4092,0.0133,0.525,,0.3346,0.2108
2017-03-18,0.4018,0.0171,0.5367,,0.168,0.1454
2017-03-19,0.4451,0.0279,0.4154,,0.1357,0.1558
2017-03-20,0.4753,0.0306,0.2798,,0.2463,0.3079
2017-03-21,0.452,0.035,0.2865,,0.1856,0.2994
2017-03-22,0.4151,0.026,0.3237,,0.1171,0.2057
2017-03-23,0.5034,0.0137,0.2351,,0.1506,0.1964
2017-03-24,0.4395,0.0225,0.2981,,0.1228,0.2428
2017-03-25,0.4639,0.0459,0.2888,,0.0602,0.1568
2017-03-26,0.6871,0.0219,0.5392,,0.0797,0.3096
2017-03-27,0.4132,0.0123,0.2505,,0.1234,0.3735
2017-03-28,0.5121,0.0091,0.3736,,0.1535,0.2925
2017-03-29,0.4218,0.0118,0.3196,,0.1567,0.2275
2017-03-30,0.4418,0.0095,0.3606,,0.1633,0.2571
2017-03-31,0.3508,0.0152,0.4781,,0.1732,0.2375
2017-04-01,0.4767,0.0106,0.3461,,0.0589,0.1144
2017-04-02,0.5175,0.0066,0.2684,,0.0563,0.1729
2017-04-03,0.4461,0.0114,0.3005,,0.1054,0.2331
2017-04-04,0.5728,0.0081,0.394,,0.1144,0.1656
2017-04-05,0.9891,0.0093,0.4839,,0.1676,0.175
2017-04-06,0.7346,0.0135,0.3849,,0.2185,0.1692
2017-04-07,2.3843,0.0082,0.6506,,0.1534,0.1588
2017-04-08,1.8509,0.006,0.6748,,0.0742,0.095
2017-04-09,1.8599,0.0062,0.479,,0.0576,0.0684
2017-04-10,1.2621,0.0108,0.5058,,0.121,0.1806
2017-04-11,1.288,0.0108,0.7378,,0.1054,0.2241
2017-04-12,0.8467,0.0088,0.588,,0.1013,0.2996
2017-04-13,0.554,0.0539,0.546,,0.3307,0.2617
2017-04-14,0.8692,0.0342,0.5553,,0.1384,0.1429
2017-04-15,1.057,0.0167,0.6485,,0.0889,0.0981
2017-04-16,0.8655,0.0138,0.6267,,0.045,0.1269
2017-04-17,0.4714,0.0484,0.3903,,0.0803,0.2184
