date,asset,cnt,sent
2024-07-19,AAPL,1.0,0.75
2024-08-01,AAPL,30.0,0.11
2024-08-02,AAPL,29.0,0.0218390804597701
2024-08-03,AAPL,1.0,-0.5
2024-08-04,AAPL,5.0,-0.1533333333333333
2024-08-05,AAPL,19.0,-0.2609649122807017
2024-08-06,AAPL,14.0,0.0
2024-08-07,AAPL,10.0,-0.1666666666666666
2024-08-08,AAPL,20.0,0.1
2024-08-09,AAPL,7.0,0.1666666666666666
2024-08-11,AAPL,3.0,0.25
2024-08-12,AAPL,9.0,0.0962962962962963
2024-08-13,AAPL,12.0,0.125
2024-08-14,AAPL,13.0,0.241025641025641
2024-08-15,AAPL,9.0,0.1111111111111111
2024-08-16,AAPL,5.0,0.0
2024-08-17,AAPL,2.0,0.0
2024-08-18,AAPL,4.0,0.0
2024-08-19,AAPL,9.0,0.037037037037037
2024-08-20,AAPL,5.0,0.2333333333333333
2024-08-21,AAPL,6.0,0.1111111111111111
2024-08-22,AAPL,8.0,0.1666666666666666
2024-08-23,AAPL,6.0,-0.0833333333333333
2024-08-24,AAPL,1.0,0.0
2024-08-25,AAPL,2.0,0.3333333333333333
2024-08-26,AAPL,12.0,0.2291666666666666
2024-08-27,AAPL,22.0,0.1363636363636363
2024-08-28,AAPL,13.0,0.1666666666666666
2024-08-29,AAPL,11.0,0.0454545454545454
2024-08-30,AAPL,7.0,0.0714285714285714
2024-08-31,AAPL,1.0,0.0
2024-09-01,AAPL,2.0,-0.5833333333333333
2024-09-02,AAPL,5.0,-0.1333333333333333
2024-09-03,AAPL,10.0,0.1166666666666666
2024-09-04,AAPL,7.0,0.2244897959183673
2024-09-05,AAPL,13.0,-0.0164835164835164
2024-09-06,AAPL,9.0,-0.0462962962962962
2024-09-07,AAPL,2.0,0.25
2024-09-08,AAPL,5.0,0.2
2024-09-09,AAPL,53.0,0.0390835579514824
2024-09-10,AAPL,36.0,0.124074074074074
2024-09-11,AAPL,9.0,0.1388888888888889
2024-09-12,AAPL,11.0,0.1363636363636363
2024-09-13,AAPL,7.0,-0.0714285714285714
2024-09-14,AAPL,3.0,0.3888888888888888
2024-09-15,AAPL,2.0,0.25
2024-09-16,AAPL,17.0,0.1666666666666666
2024-09-17,AAPL,15.0,0.0555555555555555
2024-09-18,AAPL,12.0,-0.0763888888888888
2024-09-19,AAPL,14.0,0.0204081632653061
2024-09-20,AAPL,8.0,0.1583333333333333
2024-09-21,AAPL,1.0,0.6666666666666666
2024-09-22,AAPL,3.0,0.4444444444444444
2024-09-23,AAPL,7.0,0.1547619047619048
2024-09-24,AAPL,8.0,0.21875
2024-09-25,AAPL,16.0,-0.1291666666666666
2024-09-26,AAPL,5.0,0.2
2024-09-27,AAPL,8.0,0.0
2024-09-28,AAPL,2.0,0.3333333333333333
2024-09-29,AAPL,2.0,0.2
2024-09-30,AAPL,10.0,0.1166666666666666
2024-10-01,AAPL,19.0,0.0745614035087719
2024-10-02,AAPL,11.0,0.0909090909090909
2024-10-03,AAPL,8.0,0.125
2024-10-04,AAPL,7.0,0.1666666666666666
2024-10-05,AAPL,2.0,-0.25
2024-10-06,AAPL,2.0,-0.25
2024-10-07,AAPL,10.0,0.3166666666666666
2024-10-08,AAPL,11.0,-0.0378787878787878
2024-10-09,AAPL,10.0,0.125
2024-10-10,AAPL,7.0,0.1666666666666666
2024-10-11,AAPL,9.0,-0.074074074074074
2024-10-12,AAPL,2.0,0.0
2024-10-13,AAPL,3.0,-0.1666666666666666
2024-10-14,AAPL,10.0,0.3133333333333333
2024-10-15,AAPL,9.0,0.2129629629629629
2024-10-16,AAPL,15.0,0.0444444444444444
2024-10-17,AAPL,13.0,0.2666666666666666
2024-10-18,AAPL,14.0,0.0380952380952381
2024-10-19,AAPL,2.0,-0.4166666666666667
2024-10-20,AAPL,2.0,0.0
2024-10-21,AAPL,10.0,0.125
2024-10-22,AAPL,8.0,0.0625
2024-10-23,AAPL,18.0,0.0138888888888888
2024-10-24,AAPL,10.0,0.1033333333333333
2024-10-25,AAPL,16.0,0.190625
2024-10-26,AAPL,2.0,0.0
2024-10-27,AAPL,4.0,0.25
2024-10-28,AAPL,21.0,-0.0238095238095238
2024-10-29,AAPL,9.0,-0.0092592592592592
2024-10-30,AAPL,11.0,0.1287878787878787
2024-10-31,AAPL,18.0,0.0833333333333333
2024-11-01,AAPL,22.0,0.1723484848484848
2024-11-02,AAPL,3.0,0.0833333333333333
2024-11-03,AAPL,4.0,0.0
2024-11-04,AAPL,15.0,0.1111111111111111
2024-11-05,AAPL,13.0,0.2756410256410256
2024-11-06,AAPL,7.0,-0.0357142857142857
2024-11-07,AAPL,12.0,0.1597222222222222
2024-11-08,AAPL,6.0,0.2166666666666666
2024-11-09,AAPL,2.0,0.25
2024-11-10,AAPL,3.0,0.2222222222222222
2024-11-11,AAPL,12.0,-0.0555555555555555
2024-11-12,AAPL,11.0,0.0606060606060606
2024-11-13,AAPL,6.0,-0.125
2024-11-14,AAPL,17.0,0.1013071895424836
2024-11-15,AAPL,6.0,0.0
2024-11-16,AAPL,1.0,0.0
2024-11-17,AAPL,2.0,-0.5
2024-11-18,AAPL,8.0,0.125
2024-11-19,AAPL,12.0,0.125
2024-11-20,AAPL,10.0,0.1
2024-11-21,AAPL,8.0,0.125
2024-11-22,AAPL,15.0,-0.1777777777777777
2024-11-23,AAPL,1.0,0.0
2024-11-24,AAPL,3.0,-0.1666666666666666
2024-11-25,AAPL,10.0,0.05
2024-11-26,AAPL,8.0,-0.09375
2024-11-27,AAPL,10.0,0.15
2024-11-28,AAPL,8.0,-0.2395833333333333
2024-11-29,AAPL,8.0,0.1696428571428571
2024-12-01,AAPL,2.0,-0.3333333333333333
2024-12-02,AAPL,8.0,0.3068452380952381
2024-12-03,AAPL,12.0,0.0555555555555555
2024-12-04,AAPL,10.0,0.1666666666666666
2024-12-05,AAPL,6.0,0.0
2024-12-06,AAPL,8.0,0.0520833333333333
2024-12-07,AAPL,3.0,0.0
2024-12-08,AAPL,3.0,0.3333333333333333
2024-12-09,AAPL,8.0,0.09375
2024-12-10,AAPL,9.0,0.074074074074074
2024-12-11,AAPL,13.0,0.173076923076923
2024-12-12,AAPL,15.0,0.0333333333333333
2024-12-13,AAPL,11.0,0.2689393939393939
2024-12-14,AAPL,3.0,-0.3888888888888888
2024-12-15,AAPL,4.0,-0.2916666666666666
2024-12-16,AAPL,13.0,0.2967032967032966
2024-12-17,AAPL,10.0,0.1166666666666666
2024-12-18,AAPL,9.0,0.1388888888888889
2024-12-19,AAPL,7.0,0.0
2024-12-20,AAPL,7.0,0.0952380952380952
2024-12-22,AAPL,2.0,-0.25
2024-12-23,AAPL,7.0,0.238095238095238
2024-12-24,AAPL,11.0,0.0606060606060606
2024-12-25,AAPL,6.0,0.125
2024-12-26,AAPL,7.0,0.2095238095238095
2024-12-27,AAPL,10.0,0.15
2024-12-28,AAPL,2.0,-0.25
2024-12-29,AAPL,1.0,0.6666666666666666
2024-12-30,AAPL,7.0,0.238095238095238
2024-12-31,AAPL,8.0,0.1875
2025-01-01,AAPL,4.0,-0.1875
2025-01-02,AAPL,10.0,-0.0416666666666666
2025-01-03,AAPL,14.0,0.1428571428571428
2025-01-04,AAPL,3.0,-0.2222222222222222
2025-01-05,AAPL,2.0,0.0
2025-01-06,AAPL,8.0,0.1875
2025-01-07,AAPL,13.0,-0.0743589743589743
2025-01-08,AAPL,2.0,0.0
2025-01-09,AAPL,9.0,-0.0555555555555555
2025-01-10,AAPL,6.0,-0.125
2025-01-11,AAPL,4.0,-0.1
2025-01-12,AAPL,2.0,-0.375
2025-01-13,AAPL,6.0,0.0833333333333333
2025-01-14,AAPL,7.0,-0.0357142857142857
2025-01-15,AAPL,5.0,0.1
2025-01-16,AAPL,12.0,0.0944444444444444
2025-01-17,AAPL,15.0,0.0277777777777777
2025-01-18,AAPL,3.0,0.1666666666666666
2025-01-19,AAPL,4.0,-0.0416666666666666
2025-01-20,AAPL,4.0,0.125
2025-01-21,AAPL,20.0,-0.0270833333333333
2025-01-22,AAPL,8.0,0.0
2025-01-23,AAPL,13.0,-0.0256410256410256
2025-01-24,AAPL,9.0,-0.1111111111111111
2025-01-25,AAPL,5.0,-0.1
2025-01-26,AAPL,3.0,0.1666666666666666
2025-01-27,AAPL,15.0,-0.0933333333333333
2025-01-28,AAPL,11.0,-0.209090909090909
2025-01-29,AAPL,18.0,-0.0462962962962962
2025-01-30,AAPL,19.0,0.0482456140350877
2025-01-31,AAPL,34.0,0.125
2025-02-02,AAPL,3.0,-0.3888888888888888
2025-02-03,AAPL,16.0,-0.15625
2025-02-04,AAPL,8.0,-0.09375
2025-02-05,AAPL,5.0,0.15
2025-02-06,AAPL,12.0,0.1597222222222222
2025-02-07,AAPL,6.0,0.0277777777777777
2025-02-08,AAPL,3.0,0.1666666666666666
2025-02-09,AAPL,3.0,0.0833333333333333
2025-02-10,AAPL,9.0,0.1481481481481481
2025-02-11,AAPL,11.0,-0.0454545454545454
2025-02-12,AAPL,12.0,0.2055555555555555
2025-02-13,AAPL,9.0,0.074074074074074
2025-02-14,AAPL,14.0,-0.0357142857142857
2025-02-15,AAPL,4.0,0.25
