asset,n,hit
AAPL,10,0.5
AKBNK,7,1.0
AMZN,9,0.4444444444444444
ASELS,7,0.8571428571428571
AUDUSD,2,1.0
AVGO,9,0.3333333333333333
BIMAS,7,0.5714285714285714
BRENT,3,0.3333333333333333
BTC,13,0.6923076923076923
EREGL,7,0.7142857142857143
ETH,13,0.6923076923076923
EURUSD,2,0.0
GARAN,7,0.8571428571428571
GBPUSD,2,1.0
GOOGL,9,0.4444444444444444
JEPI,6,0.6666666666666666
KCHOL,7,0.5714285714285714
META,9,0.4444444444444444
MSFT,9,0.2222222222222222
NATGAS,3,0.6666666666666666
NVDA,9,0.6666666666666666
O,6,0.5
QQQ,10,0.5
SCHD,6,1.0
SISE,7,0.0
SOL,13,0.46153846153846156
SPY,9,0.3333333333333333
THYAO,7,0.42857142857142855
TSLA,10,0.7
TUPRS,7,1.0
USDCHF,2,0.5
USDCNY,2,1.0
USDJPY,2,0.5
USDTRY,11,1.0
WTI,3,0.3333333333333333
XAUUSD,8,0.625
XRP,13,0.3076923076923077
XU100,8,0.875
