asset,ttm_div,price,yield_ttm,n_pay,freq,last_pay
JEPI,4.583,56.22010040283203,0.08152,12,Aylık,2026-09-01
O,3.246,57.19499969482422,0.05675,12,Aylık,2026-08-31
TUPRS,17.8016,412.0,0.04321,2,Yıllık,2026-03-16
GARAN,5.2669,132.5,0.03975,1,Yıllık,2026-04-07
KCHOL,6.83,218.6999969482422,0.03123,1,Yıllık,2026-03-25
SCHD,1.048,33.917598724365234,0.0309,4,3 Aylık,2026-06-24
AKBNK,2.2018,71.55000305175781,0.03077,1,Yıllık,2026-03-26
BIMAS,7.0,418.0,0.01675,3,3 Aylık,2026-09-16
EREGL,0.55,36.13999938964844,0.01522,1,Yıllık,2026-06-03
SISE,0.5876,40.18000030517578,0.01462,1,Yıllık,2026-06-01
HUBB,5.68,443.6000061035156,0.0128,4,3 Aylık,2026-08-31
ETN,4.34,410.5299987792969,0.01057,4,3 Aylık,2026-08-07
SPY,7.525,762.4600219726562,0.00987,4,3 Aylık,2026-06-18
GRID,1.43,176.9600067138672,0.00808,4,3 Aylık,2026-06-25
MSFT,3.64,495.4800109863281,0.00735,4,3 Aylık,2026-08-20
AVGO,2.54,349.3500061035156,0.00727,4,3 Aylık,2026-06-22
AAPL,1.06,335.9700012207031,0.00316,4,3 Aylık,2026-08-10
ASELS,0.2346,379.75,0.00062,1,Yıllık,2025-11-25
